"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\15209\Desktop\todistclone\README.md", "Markdown", 0, 0, 39, 0, 0, 0, 16, 55
"c:\Users\15209\Desktop\todistclone\package-lock.json", "JSON", 16375, 0, 0, 0, 0, 0, 1, 16376
"c:\Users\15209\Desktop\todistclone\package.json", "JSON", 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\15209\Desktop\todistclone\public\index.html", "HTML", 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\15209\Desktop\todistclone\src\App.js", "JavaScript", 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\15209\Desktop\todistclone\src\components\layout\Content.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\15209\Desktop\todistclone\src\components\layout\Header.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\15209\Desktop\todistclone\src\components\layout\Sidebar.js", "JavaScript", 0, 42, 0, 0, 0, 0, 11, 53
"c:\Users\15209\Desktop\todistclone\src\constants\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\15209\Desktop\todistclone\src\context\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\15209\Desktop\todistclone\src\firebase.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\15209\Desktop\todistclone\src\helpers\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\15209\Desktop\todistclone\src\hooks\index.js", "JavaScript", 0, 25, 0, 0, 0, 1, 7, 33
"c:\Users\15209\Desktop\todistclone\src\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\15209\Desktop\todistclone\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\15209\Desktop\todistclone\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\15209\Desktop\todistclone\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 16411, 135, 39, 1, 14, 5, 58, 16663
